pruid,prname,date,numconf,numdeaths,numtests
1,Canada,2020-01-01,0,0,0
1,Canada,2020-01-02,0,0,0
1,Canada,2020-01-03,0,0,0
1,Canada,2020-01-04,0,0,0
1,Canada,2020-01-05,0,0,0
1,Canada,2020-01-06,0,0,0
1,Canada,2020-01-07,0,0,0
1,Canada,2020-01-08,0,0,0
1,Canada,2020-01-09,0,0,0
1,Canada,2020-01-10,0,0,0
1,Canada,2020-01-11,0,0,0
1,Canada,2020-01-12,0,0,0
1,Canada,2020-01-13,0,0,0
1,Canada,2020-01-14,0,0,0
1,Canada,2020-01-15,0,0,0
1,Canada,2020-01-16,0,0,0
1,Canada,2020-01-17,0,0,0
1,Canada,2020-01-18,0,0,0
1,Canada,2020-01-19,0,0,0
1,Canada,2020-01-20,0,0,0
1,Canada,2020-01-21,0,0,0
1,Canada,2020-01-22,0,0,0
1,Canada,2020-01-23,0,0,0
1,Canada,2020-01-24,0,0,0
1,Canada,2020-01-25,0,0,0
1,Canada,2020-01-26,0,0,0
1,Canada,2020-01-27,1,0,0
1,Canada,2020-01-28,2,0,0
1,Canada,2020-01-29,2,0,0
1,Canada,2020-01-30,2,0,0
1,Canada,2020-01-31,4,0,0
1,Canada,2020-02-01,4,0,0
1,Canada,2020-02-02,4,0,0
1,Canada,2020-02-03,4,0,0
1,Canada,2020-02-04,4,0,0
1,Canada,2020-02-05,4,0,0
1,Canada,2020-02-06,4,0,0
1,Canada,2020-02-07,4,0,0
1,Canada,2020-02-08,7,0,63
1,Canada,2020-02-09,7,0,63
1,Canada,2020-02-10,7,0,63
1,Canada,2020-02-11,7,0,63
1,Canada,2020-02-12,7,0,63
1,Canada,2020-02-13,7,0,63
1,Canada,2020-02-14,7,0,63
1,Canada,2020-02-15,7,0,63
1,Canada,2020-02-16,8,0,109
1,Canada,2020-02-17,8,0,109
1,Canada,2020-02-18,8,0,109
1,Canada,2020-02-19,8,0,109
1,Canada,2020-02-20,8,0,109
1,Canada,2020-02-21,9,0,166
1,Canada,2020-02-22,9,0,166
1,Canada,2020-02-23,9,0,166
1,Canada,2020-02-24,10,0,212
1,Canada,2020-02-25,11,0,230
1,Canada,2020-02-26,12,0,292
1,Canada,2020-02-27,13,0,369
1,Canada,2020-02-28,13,0,369
1,Canada,2020-02-29,15,0,510
1,Canada,2020-03-01,24,0,635
1,Canada,2020-03-02,24,0,635
1,Canada,2020-03-03,33,0,733
1,Canada,2020-03-04,33,0,733
1,Canada,2020-03-05,45,0,1099
1,Canada,2020-03-06,51,0,1395
1,Canada,2020-03-07,57,0,1767
1,Canada,2020-03-08,62,1,2699
1,Canada,2020-03-09,77,1,3531
1,Canada,2020-03-10,77,1,3531
1,Canada,2020-03-11,103,2,4846
1,Canada,2020-03-12,138,2,6739
1,Canada,2020-03-13,176,2,9889
1,Canada,2020-03-14,193,2,13209
1,Canada,2020-03-15,249,2,17357
1,Canada,2020-03-16,324,5,21876
1,Canada,2020-03-17,424,8,26907
1,Canada,2020-03-18,569,9,34193
1,Canada,2020-03-19,846,12,42801
1,Canada,2020-03-20,971,13,50068
1,Canada,2020-03-21,1302,18,58195
1,Canada,2020-03-22,1430,20,68730
1,Canada,2020-03-23,1646,24,79877
1,Canada,2020-03-24,1959,27,90468
1,Canada,2020-03-25,3385,35,101538
1,Canada,2020-03-26,4018,39,112449
1,Canada,2020-03-27,4675,53,124666
1,Canada,2020-03-28,5386,59,137153
1,Canada,2020-03-29,6255,61,152595
1,Canada,2020-03-30,7424,89,164718
1,Canada,2020-03-31,8536,96,178318
1,Canada,2020-04-01,9595,109,192339
1,Canada,2020-04-02,11268,138,208760
1,Canada,2020-04-03,12519,187,223618
1,Canada,2020-04-04,13882,231,238679
1,Canada,2020-04-05,15496,280,251171
1,Canada,2020-04-06,16653,323,261979
1,Canada,2020-04-07,17883,380,269825
1,Canada,2020-04-08,19274,435,278552
1,Canada,2020-04-09,20748,509,289379
1,Canada,2020-04-10,22133,569,300011
1,Canada,2020-04-11,23301,653,312421
1,Canada,2020-04-12,24365,717,324486
1,Canada,2020-04-13,25663,780,335915
1,Canada,2020-04-14,27046,903,347084
1,Canada,2020-04-15,28364,1015,359691
1,Canada,2020-04-16,30081,1198,372222
1,Canada,2020-04-17,31872,1314,386119
1,Canada,2020-04-18,33341,1472,399762
1,Canada,2020-04-19,34777,1585,415678
1,Canada,2020-04-20,36823,1695,438683
1,Canada,2020-04-21,38413,1839,460055
1,Canada,2020-04-22,40179,1979,481180
1,Canada,2020-04-23,42099,2151,505372
1,Canada,2020-04-24,43877,2307,530351
1,Canada,2020-04-25,45341,2470,559114
1,Canada,2020-04-26,46884,2565,586081
1,Canada,2020-04-27,48489,2712,613599
1,Canada,2020-04-28,50015,2864,640576
1,Canada,2020-04-29,51587,3001,664330
1,Canada,2020-04-30,53225,3189,692108
1,Canada,2020-05-01,55050,3396,722784
1,Canada,2020-05-02,56703,3571,757028
1,Canada,2020-05-03,59463,3687,789350
1,Canada,2020-05-04,60761,3859,823469
1,Canada,2020-05-05,62035,4048,852042
1,Canada,2020-05-06,63485,4237,874055
1,Canada,2020-05-07,64911,4413,902008
1,Canada,2020-05-08,66423,4574,933526
1,Canada,2020-05-09,67691,4698,967073
1,Canada,2020-05-10,68837,4876,1003372
1,Canada,2020-05-11,69970,4998,1037402
1,Canada,2020-05-12,71146,5174,1065122
1,Canada,2020-05-13,72267,5309,1089235
1,Canada,2020-05-14,73477,5477,1120608
1,Canada,2020-05-15,74602,5572,1155817
1,Canada,2020-05-16,75853,5689,1193389
1,Canada,2020-05-17,76991,5792,1231243
1,Canada,2020-05-18,78061,5852,1266322
1,Canada,2020-05-19,79101,5922,1290260
1,Canada,2020-05-20,80112,6040,1308948
1,Canada,2020-05-21,81313,6162,1330479
1,Canada,2020-05-22,82469,6260,1358522
1,Canada,2020-05-23,83610,6365,1389533
1,Canada,2020-05-24,84688,6434,1420798
1,Canada,2020-05-25,85700,6555,1452296
1,Canada,2020-05-26,86636,6649,1477996
1,Canada,2020-05-27,87508,6775,1501086
1,Canada,2020-05-28,88501,6887,1533862
1,Canada,2020-05-29,89407,6989,1572747
1,Canada,2020-05-30,90179,7083,1613063
1,Canada,2020-05-31,90936,7305,1655117
1,Canada,2020-06-01,91694,7336,1693572
1,Canada,2020-06-02,92399,7405,1725035
1,Canada,2020-06-03,93074,7508,1754561
1,Canada,2020-06-04,93715,7647,1790252
1,Canada,2020-06-05,94324,7713,1831447
1,Canada,2020-06-06,95046,7783,1873869
1,Canada,2020-06-07,95688,7810,1918112
1,Canada,2020-06-08,96233,7845,1956236
1,Canada,2020-06-09,96642,7907,1986224
1,Canada,2020-06-10,97114,7970,2013633
1,Canada,2020-06-11,97519,8004,2052798
1,Canada,2020-06-12,97932,8059,2096926
1,Canada,2020-06-13,98399,8117,2146743
1,Canada,2020-06-14,98776,8156,2194241
1,Canada,2020-06-15,99136,8190,2236719
1,Canada,2020-06-16,99456,8228,2274339
1,Canada,2020-06-17,99842,8269,2311002
1,Canada,2020-06-18,100209,8315,2354977
1,Canada,2020-06-19,100618,8361,2402050
1,Canada,2020-06-20,101008,8425,2452379
1,Canada,2020-06-21,101326,8445,2500508
1,Canada,2020-06-22,101626,8451,2544303
1,Canada,2020-06-23,101952,8469,2581509
1,Canada,2020-06-24,102231,8499,2612757
1,Canada,2020-06-25,102611,8519,2654415
1,Canada,2020-06-26,102783,8523,2701589
1,Canada,2020-06-27,103021,8531,2750374
1,Canada,2020-06-28,103239,8537,2803892
1,Canada,2020-06-29,103907,8581,2851641
1,Canada,2020-06-30,104193,8606,2894567
1,Canada,2020-07-01,104193,8606,2934155
1,Canada,2020-07-02,104760,8657,2979417
1,Canada,2020-07-03,105079,8678,3023932
1,Canada,2020-07-04,105305,8689,3065271
1,Canada,2020-07-05,105524,8699,3104518
1,Canada,2020-07-06,105923,8708,3145104
1,Canada,2020-07-07,106155,8726,3177228
1,Canada,2020-07-08,106422,8752,3208097
1,Canada,2020-07-09,106793,8764,3250149
1,Canada,2020-07-10,107114,8774,3298898
1,Canada,2020-07-11,107335,8788,3351758
1,Canada,2020-07-12,107579,8798,3405241
1,Canada,2020-07-13,108144,8805,3457060
1,Canada,2020-07-14,108475,8813,3497651
1,Canada,2020-07-15,108816,8830,3532695
1,Canada,2020-07-16,109253,8847,3580120
1,Canada,2020-07-17,109658,8859,3634898
1,Canada,2020-07-18,109988,8868,3693362
1,Canada,2020-07-19,110327,8872,3753607
1,Canada,2020-07-20,111113,8878,3808126
1,Canada,2020-07-21,111684,8882,3852126
1,Canada,2020-07-22,112227,8890,3898127
1,Canada,2020-07-23,112659,8894,3951025
1,Canada,2020-07-24,113193,8901,4008172
1,Canada,2020-07-25,113543,8905,4070037
1,Canada,2020-07-26,113898,8910,4132139
1,Canada,2020-07-27,114584,8921,4188015
1,Canada,2020-07-28,114980,8932,4237258
1,Canada,2020-07-29,115392,8939,4279312
1,Canada,2020-07-30,115785,8949,4335747
1,Canada,2020-07-31,116298,8955,4398108
1,Canada,2020-08-01,116585,8961,4460821
1,Canada,2020-08-02,116870,8965,4529169
1,Canada,2020-08-03,117017,8967,4590402
1,Canada,2020-08-04,117777,8978,4635750
1,Canada,2020-08-05,118172,8982,4677949
1,Canada,2020-08-06,118546,8986,4723937
1,Canada,2020-08-07,118970,8990,4781013
1,Canada,2020-08-08,119206,8996,4839800
1,Canada,2020-08-09,119436,9001,4898783
1,Canada,2020-08-10,120117,9007,4958570
1,Canada,2020-08-11,120406,9011,5005681
1,Canada,2020-08-12,120829,9026,5049821
1,Canada,2020-08-13,121234,9035,5104825
1,Canada,2020-08-14,121652,9040,5167879
1,Canada,2020-08-15,121889,9049,5232301
1,Canada,2020-08-16,122087,9051,5298207
1,Canada,2020-08-17,122872,9057,5351934
1,Canada,2020-08-18,123154,9069,5402380
1,Canada,2020-08-19,123490,9074,5450573
1,Canada,2020-08-20,123873,9079,5507747
1,Canada,2020-08-21,124372,9089,5568435
1,Canada,2020-08-22,124629,9096,5632757
1,Canada,2020-08-23,124896,9098,5694345
1,Canada,2020-08-24,125647,9108,5749324
1,Canada,2020-08-25,125969,9115,5791993
1,Canada,2020-08-26,126417,9119,5835264
1,Canada,2020-08-27,126848,9127,5889923
1,Canada,2020-08-28,127310,9138,5952708
1,Canada,2020-08-29,127673,9138,6021277
1,Canada,2020-08-30,127940,9142,6088912
1,Canada,2020-08-31,128948,9151,6146834
1,Canada,2020-09-01,129425,9157,6201792
1,Canada,2020-09-02,129923,9160,6250262
1,Canada,2020-09-03,130493,9166,6308657
1,Canada,2020-09-04,131124,9166,6371047
1,Canada,2020-09-05,131495,9168,6440078
1,Canada,2020-09-06,131895,9170,6509289
1,Canada,2020-09-07,132142,9171,6575400
1,Canada,2020-09-08,133748,9178,6632575
1,Canada,2020-09-09,134294,9180,6686286
1,Canada,2020-09-10,134924,9188,6737627
1,Canada,2020-09-11,135626,9188,6803382
1,Canada,2020-09-12,136141,9195,6882899
1,Canada,2020-09-13,136659,9196,6966164
1,Canada,2020-09-14,138010,9204,7048721
1,Canada,2020-09-15,138803,9218,7121386
1,Canada,2020-09-16,139747,9223,7189611
1,Canada,2020-09-17,140867,9230,7265614
1,Canada,2020-09-18,141911,9235,7358275
1,Canada,2020-09-19,142774,9241,7443935
1,Canada,2020-09-20,143649,9247,7540462
1,Canada,2020-09-21,145415,9258,7629201
1,Canada,2020-09-22,146663,9264,7711178
1,Canada,2020-09-23,147753,9273,7790037
1,Canada,2020-09-24,149094,9279,7875649
1,Canada,2020-09-25,150456,9285,7961189
1,Canada,2020-09-26,151671,9292,8065962
1,Canada,2020-09-27,153125,9298,8167515
1,Canada,2020-09-28,155301,9308,8270610
1,Canada,2020-09-29,156961,9321,8360339
1,Canada,2020-09-30,158758,9327,8446021
1,Canada,2020-10-01,160535,9349,8541588
1,Canada,2020-10-02,162659,9439,8643554
1,Canada,2020-10-03,164471,9492,8744541
1,Canada,2020-10-04,166156,9511,8855895
1,Canada,2020-10-05,168960,9534,8954787
1,Canada,2020-10-06,171323,9560,9045978
1,Canada,2020-10-07,173123,9571,9141759
1,Canada,2020-10-08,175559,9587,9238881
1,Canada,2020-10-09,178117,9615,9346434
1,Canada,2020-10-10,180179,9638,9457407
1,Canada,2020-10-11,181864,9643,9564007
1,Canada,2020-10-12,182839,9657,9664380
1,Canada,2020-10-13,186881,9684,9753793
1,Canada,2020-10-14,189385,9694,9824759
1,Canada,2020-10-15,191730,9734,9905469
1,Canada,2020-10-16,194106,9757,10002301
1,Canada,2020-10-17,196321,9781,10100418
1,Canada,2020-10-18,198148,9795,10202508
1,Canada,2020-10-19,201437,9813,10295050
1,Canada,2020-10-20,203688,9829,10371639
1,Canada,2020-10-21,206360,9864,10439112
1,Canada,2020-10-22,209148,9897,10528083
1,Canada,2020-10-23,211732,9923,10625080
1,Canada,2020-10-24,213959,9957,10720643
1,Canada,2020-10-25,216104,9981,10824708
1,Canada,2020-10-26,220213,10008,10919294
1,Canada,2020-10-27,222887,10036,10993171
1,Canada,2020-10-28,225586,10067,11055901
1,Canada,2020-10-29,228542,10109,11139581
1,Canada,2020-10-30,231999,10145,11231881
1,Canada,2020-10-31,235444,10171,11329993
1,Canada,2020-11-01,238688,10214,11426963
1,Canada,2020-11-02,241961,10243,11516627
1,Canada,2020-11-03,244935,10314,11586165
1,Canada,2020-11-04,248218,10371,11649796
1,Canada,2020-11-05,252140,10416,11729364
1,Canada,2020-11-06,255809,10471,11826258
1,Canada,2020-11-07,260055,10525,11928609
1,Canada,2020-11-08,264649,10557,12028151
1,Canada,2020-11-09,268735,10599,12116510
1,Canada,2020-11-10,273037,10667,12192838
1,Canada,2020-11-11,277596,10720,12264295
1,Canada,2020-11-12,282577,10803,12358240
1,Canada,2020-11-13,287318,10863,12460757
1,Canada,2020-11-14,292585,10926,12562354
1,Canada,2020-11-15,297390,10993,12670682
1,Canada,2020-11-16,302192,11067,12773233
1,Canada,2020-11-17,306468,11126,12857284
1,Canada,2020-11-18,311109,11226,12931224
1,Canada,2020-11-19,315751,11305,13025678
1,Canada,2020-11-20,320719,11374,13136367
1,Canada,2020-11-21,326424,11446,13252042
1,Canada,2020-11-22,331842,11495,13373339
1,Canada,2020-11-23,337555,11561,13486536
1,Canada,2020-11-24,342444,11658,13583460
1,Canada,2020-11-25,347466,11750,13664747
1,Canada,2020-11-26,353097,11839,13765816
1,Canada,2020-11-27,359064,11934,13883888
1,Canada,2020-11-28,365560,12031,14016273
1,Canada,2020-11-29,372036,12104,14149766
1,Canada,2020-11-30,378139,12170,14277692
1,Canada,2020-12-01,383468,12251,14381174
1,Canada,2020-12-02,389775,12365,14473250
1,Canada,2020-12-03,396268,12447,14591325
1,Canada,2020-12-04,402568,12536,14719207
1,Canada,2020-12-05,409567,12647,14852779
1,Canada,2020-12-06,416554,12733,14985423
1,Canada,2020-12-07,423053,12817,15122337
1,Canada,2020-12-08,429034,12907,15230658
1,Canada,2020-12-09,435329,13023,15328313
1,Canada,2020-12-10,442068,13149,15449032
1,Canada,2020-12-11,448839,13291,15584772
1,Canada,2020-12-12,455549,13418,15728238
1,Canada,2020-12-13,462129,13513,15877256
1,Canada,2020-12-14,468860,13593,16008664
1,Canada,2020-12-15,475212,13705,16132400
1,Canada,2020-12-16,481628,13845,16229379
1,Canada,2020-12-17,488636,13962,16356624
1,Canada,2020-12-18,495343,14086,16493272
1,Canada,2020-12-19,502242,14228,16640503
1,Canada,2020-12-20,508931,14309,16783349
1,Canada,2020-12-21,515312,14377,16922977
1,Canada,2020-12-22,521508,14470,17037732
1,Canada,2020-12-23,528353,14642,17140068
1,Canada,2020-12-24,535149,14795,17269154
1,Canada,2020-12-25,539241,14838,17405025
1,Canada,2020-12-26,547370,15048,17533075
1,Canada,2020-12-27,553273,15154,17632876
1,Canada,2020-12-28,559063,15268,17708419
1,Canada,2020-12-29,565504,15424,17786792
1,Canada,2020-12-30,572981,15518,17864192
1,Canada,2020-12-31,581427,15651,17965095
1,Canada,2021-01-01,588939,15787,18097623
1,Canada,2021-01-02,596376,15870,18229970
1,Canada,2021-01-03,603513,15911,18342575
1,Canada,2021-01-04,611424,16120,18430711
1,Canada,2021-01-05,618871,16279,18514140
1,Canada,2021-01-06,627243,16415,18597612
1,Canada,2021-01-07,635583,16624,18716320
1,Canada,2021-01-08,644349,16753,18851810
1,Canada,2021-01-09,653014,16890,18998073
1,Canada,2021-01-10,661334,17013,19139670
1,Canada,2021-01-11,668183,17130,19260709
1,Canada,2021-01-12,674470,17277,19355884
1,Canada,2021-01-13,681330,17428,19449427
1,Canada,2021-01-14,688895,17582,19569464
1,Canada,2021-01-15,695704,17728,19713708
1,Canada,2021-01-16,702767,17882,19860051
1,Canada,2021-01-17,709847,18040,20001761
1,Canada,2021-01-18,715072,18120,20122360
1,Canada,2021-01-19,719751,18266,20205977
1,Canada,2021-01-20,725495,18462,20285433
1,Canada,2021-01-21,731450,18622,20407889
1,Canada,2021-01-22,737407,18828,20546199
1,Canada,2021-01-23,743058,18974,20688427
1,Canada,2021-01-24,748381,19094,20817447
1,Canada,2021-01-25,753011,19238,20924370
1,Canada,2021-01-26,757022,19403,21001832
1,Canada,2021-01-27,761226,19533,21078482
1,Canada,2021-01-28,766103,19664,21201895
1,Canada,2021-01-29,770793,19801,21334846
1,Canada,2021-01-30,775456,19942,21471772
1,Canada,2021-01-31,779853,20032,21593178
1,Canada,2021-02-01,783589,20136,21695238
1,Canada,2021-02-02,786417,20213,21765562
1,Canada,2021-02-03,789651,20355,21837984
1,Canada,2021-02-04,793734,20513,21947836
1,Canada,2021-02-05,797756,20609,22072745
1,Canada,2021-02-06,801485,20702,22196761
1,Canada,2021-02-07,805153,20767,22318959
1,Canada,2021-02-08,808120,20835,22418263
1,Canada,2021-02-09,810797,20909,22484611
1,Canada,2021-02-10,813982,21004,22557097
1,Canada,2021-02-11,817163,21088,22671229
1,Canada,2021-02-12,820306,21162,22800850
1,Canada,2021-02-13,823805,21238,22922404
1,Canada,2021-02-14,826667,21307,23040160
1,Canada,2021-02-15,829189,21343,23138775
1,Canada,2021-02-16,831576,21395,23209222
1,Canada,2021-02-17,834181,21431,23277743
1,Canada,2021-02-18,837495,21498,23366022
1,Canada,2021-02-19,840586,21576,23486748
1,Canada,2021-02-20,843805,21630,23616086
1,Canada,2021-02-21,846630,21674,23728396
1,Canada,2021-02-22,849508,21722,23823141
1,Canada,2021-02-23,852298,21761,23892820
1,Canada,2021-02-24,855194,21806,23961860
1,Canada,2021-02-25,858328,21865,24077706
1,Canada,2021-02-26,861547,21915,24205430
1,Canada,2021-02-27,864842,21959,24328417
1,Canada,2021-02-28,867694,21994,24444017
1,Canada,2021-03-01,870290,22020,24545470
1,Canada,2021-03-02,872747,22049,24621134
1,Canada,2021-03-03,875559,22104,24698266
1,Canada,2021-03-04,878391,22150,24813290
1,Canada,2021-03-05,881754,22191,24939113
1,Canada,2021-03-06,884630,22217,25067769
1,Canada,2021-03-07,887655,22248,25180543
1,Canada,2021-03-08,890692,22275,25277398
1,Canada,2021-03-09,893512,22304,25353457
1,Canada,2021-03-10,896735,22335,25430035
1,Canada,2021-03-11,899757,22370,25543898
1,Canada,2021-03-12,903216,22402,25664264
1,Canada,2021-03-13,906755,22438,25787862
1,Canada,2021-03-14,910200,22470,25901412
