deaths redistributed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_age_group1,0.341589,output_age_group2,0.358729,output_age_group3,0.368213,output_age_group4,0.383824,output_age_group5,0.393679,output_age_group6,0.392855,output_age_group7,0.402348,output_age_group8,0.403794,output_age_group9,0.41347,output_age_group10,0.667067,output_age_group11,0.670503,output_age_group12,0.683071,output_age_group13,0.679455,output_age_group14,0.674236,output_age_group15,0.675035,output_age_group16,0.70202,output_age_group17,0.708376,output_age_group18,0.72613,output_age_group19,0.731109,output_age_group20,4.491656,output_age_group21,4.481761,output_age_group22,4.556093,output_age_group23,4.556277,output_age_group24,4.548263,output_age_group25,4.618848,output_age_group26,4.625667,output_age_group27,4.551613,output_age_group28,4.617333,output_age_group29,4.604702,output_age_group30,9.158318,output_age_group31,9.340486,output_age_group32,9.64319,output_age_group33,9.911085,output_age_group34,10.064544,output_age_group35,10.445695,output_age_group36,10.809698,output_age_group37,10.956234,output_age_group38,10.974028,output_age_group39,11.068354,output_age_group40,20.666852,output_age_group41,21.171206,output_age_group42,21.975316,output_age_group43,22.54134,output_age_group44,23.604517,output_age_group45,24.567112,output_age_group46,25.949156,output_age_group47,26.407171,output_age_group48,25.917366,output_age_group49,25.144834,output_age_group50,78.015353,output_age_group51,76.761244,output_age_group52,74.90668,output_age_group53,74.683346,output_age_group54,58.226307,output_age_group55,71.725445,output_age_group56,67.208664,output_age_group57,65.472391,output_age_group58,63.346472,output_age_group59,62.045998,output_age_group60,170.151112,output_age_group61,173.024992,output_age_group62,167.906237,output_age_group63,162.980942,output_age_group64,170.768076,output_age_group65,175.565788,output_age_group66,175.065293,output_age_group67,185.105407,output_age_group68,194.485026,output_age_group69,204.69174,output_age_group70,441.658252,output_age_group71,480.612905,output_age_group72,471.626413,output_age_group73,443.350273,output_age_group74,272.93031,output_age_group75,289.145005,output_age_group76,348.49453,output_age_group77,331.70053,output_age_group78,334.95321,output_age_group79,318.634549,output_age_group80,1261.820831,output_age_group81,1064.685978,output_age_group82,1097.236461,output_age_group83,1082.913495,output_age_group84,1034.968702,output_age_group85,935.077264,output_age_group86,830.880567,output_age_group87,773.324007,output_age_group88,692.871627,output_age_group89,607.346051,output_age_group90,516.656256,output_age_group91,444.694078,output_age_group92,374.956197,output_age_group93,290.448607,output_age_group94,234.514759,output_age_group95,177.847499,output_age_group96,128.746616,output_age_group97,94.239673,output_age_group98,67.897553,output_age_group99,46.774056,output_age_group100,33.513019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_age_group1,,,output_age_group1,0.341589,4.125568,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.341589,,,output_age_group2,0.358729,10.741591,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_age_group2,,,output_age_group3,0.368213,50.318875,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.358729,,,output_age_group4,0.383824,113.880166,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_age_group3,,,output_age_group5,0.393679,295.293371,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.368213,,,output_age_group6,0.392855,784.527659,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_age_group4,,,output_age_group7,0.402348,2051.251753,2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.383824,,,output_age_group8,0.403794,4553.268556,4553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_age_group5,,,output_age_group9,0.41347,8635.960408,8636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
